,company_name,description,tags,image_link
17,Carrington Mortgage Services,Carrington Mortgage Services is a financial institution that offers mortgage and lending services.,"['finance', 'financial-services', 'lending', 'mobile-apps', 'real-estate']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
18,Catherine Avery Investment Management,Catherine Avery Investment Management is an investment management firm that offers financial services.,"['advice', 'banking', 'customer-service', 'finance', 'financial-services']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
19,Celestro Technologies,Green technology company focusing on carbon neutral data centre co-location and cloud solutions.,"['cloud-computing', 'data-center', 'greentech', 'renewable-energy']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
20,Cercle X,"SaaS based waste management company, enabling brands and governments to manage their wastes quicker, better and with 100% traceability.","['blockchain', 'cleantech', 'greentech', 'pollution-control', 'recycling', 'saas-5c4e', 'sustainability-e391', 'waste-management-ea5b']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
21,Charge Amps,Elaphe Propulsion Technologies is a developer of direct-drive in-wheel electric propulsion technology for electric vehicles.,"['consumer-goods', 'electronics', 'greentech', 'machinery-manufacturing', 'manufacturing']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
22,CIRCULIX,We rate and create circular products,"['greentech', 'saas-5c4e', 'software']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
23,CitadelBlue,Hysphere provides information technology and services.,"['consulting', 'information-technology-dbca', 'service-industry']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
24,City Green Cars,"Inflight Service Group provides a range of services to airlines, ferries and cruise ship lines, and airport retailers.","['aerospace-8a20', 'automotive', 'greentech', 'price-comparison', 'tourism', 'travel']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
25,Claros Technologies,Claros Technologies is an advanced materials company that develops safe and sustainable products with zero toxic waste.,"['advanced-materials', 'greentech', 'sustainability-e391']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
26,Clave,LiteBit.eu is an online service that is active within the cryptocurrency trade.,"['apps', 'credit', 'cryptocurrency', 'fintech-e067', 'payments']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
27,CNaught,CNaught is an online platform that helps companies to purchase a diversified portfolio of carbon offsets.,"['environmental-consulting', 'greentech', 'online-portals']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
28,Codetain,Nortical is a software development company for the battery sector.,"['automotive', 'battery', 'business-development', 'clean-energy', 'greentech', 'power-grid', 'renewable-energy', 'software', 'web-development']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
29,CODI Carbon,Carbon Offsets Development Initiative is an organisation supporting the expansion of voluntary carbon markets.,"['greentech', 'sustainability-e391']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
30,CommonVC,At MAZE we work alongside impact ventures and investors to scale effective solutions for social and environmental challenges.,"['angel-investment', 'cleantech', 'green-consumer-goods', 'greentech', 'impact-investing', 'incubators', 'social-entrepreneurship', 'social-impact-bf5c', 'sustainability-e391', 'venture-capital-b37d']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
31,Cornerstone Contracting,"CORNERSTONE Contracting is a custom home builder that provides architecture, construction, and interior design services.","['architecture', 'construction', 'interior-design']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
32,Cuipo,Fashioning Change is an online marketplace providing personalized fashion product recommendations that are branded and eco-friendly.,"['big-data', 'fashion', 'greentech']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
33,Delamar Hotels,"Delamar Hotels is a brand of luxury hotels that specializes in fine dining, spa, weddings, corporate, private events, and meetings.","['events', 'hospitality', 'hotel']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
34,Dispatch Goods,Dispatch Goods is a climate tech company that is disrupting waste through an end-to-end platform for reuse.,"['delivery', 'food-and-beverage', 'greentech', 'sustainability-e391']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
35,Eastern Asset Funding,"Eastern Asset Funding is an investment management company that focuses on acquisitions, debt-equity, investments, and legal assets.","['asset-management', 'consulting', 'financial-services', 'legal']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
36,Energy 4 Future,Smart Grey Technologies is a green technology company that specializes in environmentally friendly construction projects.,"['construction', 'greentech', 'sustainability-e391']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
37,"Enlighten Interactive, LLC",Social Media and Interactivity gauging,"['education', 'finance', 'skill-assessment', 'training']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
38,ERS - Ecosystem Restoration Standard,"Built upon next-generation dMRV, our standard is designed to verify impact on climate, biodiversity, and livelihoods.","['environmental-consulting', 'greentech', 'software']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
39,Estuaire,Wingtra is a manufacturer of professional mapping and surveying drones.,"['aerospace-8a20', 'greentech']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
40,Eunice,"Eunice is a green energy manufacturing company that offers autonomous, renewable energy production, EV charging, and wind energy solutions.","['clean-energy', 'green-building', 'greentech', 'renewable-energy']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
41,Ever Dye,DyeRecycle develops an innovative dyeing fibers technology using recycled dye from textile waste.,"['chemical', 'fashion', 'greentech', 'textiles']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
42,Experimental Center For Floriculture,DyeRecycle develops an innovative dyeing fibers technology using recycled dye from textile waste.,"['agriculture', 'greentech']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
43,Expertise Accelerated,Outsourced Finance And Accounting Services,['accounting'],https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
44,FGRID,Real Ice is a greentech company that provides sustainable and renewable energy sources to prevent and restore climate change.,"['finance', 'greentech', 'lending', 'renewable-energy', 'sustainability-e391']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
45,G-ON,G-ON is a consulting company that provides consulting and engineering services for sustainable development.,"['consulting', 'environmental-consulting', 'environmental-engineering-5941', 'greentech', 'sustainability-e391']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
46,Glade Brook Capital Partners - Crunchbase Investor Profile & Investments,"Glade Brook Capital Partners focuses on companies in the technology, media, telecom, and consumer sectors.","['finance', 'financial-exchanges', 'financial-services', 'venture-capital-b37d']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
47,Grant - OroraTech - 2018-10-01 - Crunchbase Funding Round Profile,"Glade Brook Capital Partners focuses on companies in the technology, media, telecom, and consumer sectors.",[],https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
48,Grant - Pharem Biotech - 2016-01-12 - Crunchbase Funding Round Profile,"Glade Brook Capital Partners focuses on companies in the technology, media, telecom, and consumer sectors.",[],https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
49,Grant - Renience - 2015-05-01 - Crunchbase Funding Round Profile,"Glade Brook Capital Partners focuses on companies in the technology, media, telecom, and consumer sectors.",[],https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
50,Grant - Veso Concept - 2017-08-01 - Crunchbase Funding Round Profile,"Glade Brook Capital Partners focuses on companies in the technology, media, telecom, and consumer sectors.",[],https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
51,Green Building Store,AR Green Consulting is a sustainability consulting firm that specializes in green building design and construction.,"['construction', 'green-building', 'greentech', 'sustainability-e391']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
52,Green Capital Funding,Green Capital Funding is a private investment firm and business funding consultation company.,"['consulting', 'finance', 'financial-services']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
53,Green Energy Group,"Green Star Energy supplies electricity, gas and renewable energy at competitive prices.","['clean-energy', 'energy-0ff0', 'greentech']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
54,Green Energy Storage,Green Energy Storage reshapes the energy transition with the green and sustainable energy storage system.,"['clean-energy', 'greentech', 'renewable-energy', 'solar-c3d5']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
55,Green Hydrogen Technology,Green Energy Storage reshapes the energy transition with the green and sustainable energy storage system.,"['greentech', 'industrial-engineering', 'renewable-energy']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
56,Green Ray LED,"Eclipse Lighting manufactures commercial, industrial, and institutional lighting products for indoor and outdoor use.","['electrical-distribution', 'electronics', 'lighting', 'manufacturing']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
57,Greena World,We use technology to make tourism sustainable.,"['greentech', 'saas-5c4e', 'sustainability-e391']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
58,Greenbridge Capital - Crunchbase Investor Profile & Investments,Greenbridge Capital,['finance'],https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
59,Greenchoice,Dachgold advises companies in Austria on the implementation of photovoltaic systems on their roofs.,"['clean-energy', 'energy-0ff0', 'energy-efficiency', 'greentech', 'renewable-energy', 'sustainability-e391']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
60,Greenwich Energy Solutions,Greenwich Energy Solutions is one of the premier providers of independent energy solutions.,"['energy-0ff0', 'environmental-consulting', 'renewable-energy']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
61,Greenwich United Way,"Greenwich United Way is a partner of the greenwich community, government, and local organizations.","['charity', 'communities', 'non-profit']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
62,"Greenwich, CT",Chesterfield County is a government administration organization.,"['communities', 'education', 'government', 'public-safety']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
63,H2U Technologies,H2U Technologies is a clean-energy company developing a proprietary electrocatalyst discovery process for electrolyser.,"['clean-energy', 'cleantech', 'energy-0ff0', 'greentech', 'renewable-energy']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
64,Hagal,Hagal is a technology company that enables the efficient use of used and new batteries.,"['energy-0ff0', 'energy-storage', 'greentech', 'renewable-energy']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
65,Hollywood Pop Gallery,Hollywood Pop Gallery is an event design and party planning company.,"['event-management', 'service-industry', 'small-and-medium-businesses']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
66,Howmet Corp,Howmet Corp. provides technology and innovative solutions for aerospace and industrial markets.,"['innovation-management', 'manufacturing']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
67,HZ-Thunder,HZ-Thunder is an AgTech firm specializing in the research and manufacturing of fertilizers.,"['agriculture', 'agtech', 'greentech', 'manufacturing', 'product-research']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
68,Indian Harbor Yacht Club,"Gulf Coast Complete Marine Service is a transportation company that provides repair, refurbishment, fishing, and sailing watercraft.","['boating', 'marine-transportation', 'transportation']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
69,IT Technology,"Fine-Tuned Technology provides technology implementation, virtualization, strategy and management, diagnostics, and security services.","['consulting', 'information-technology-dbca', 'network-security']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
70,ITA Group,ITA Group is an engineering solutions provider that offers a wide range of applications in the renewable energy and environment sectors.,"['environmental-consulting', 'greentech', 'renewable-energy']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
71,Joule,Joule is a green energy company that harnesses the power of green hydroelectric plants to provide electricity.,"['energy-0ff0', 'greentech', 'renewable-energy']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
72,Karbon path,"B2B SaaS, Circular Economy, Sustainability, AI, Repair, Maintenance, Refurbishment,","['greentech', 'saas-5c4e', 'software']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
73,Kelvin Green,The Operating System for Shared Transportation (SaaS),"['greentech', 'software', 'transportation']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
74,L Catterton - Crunchbase Investor Profile & Investments,Darco Capital is an investment firm that focuses on investing on technology and consumer businesses.,"['financial-services', 'professional-services', 'venture-capital-b37d']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
75,Lake Avenue Capital,Lake Avenue Capital enables institutional investors to monetize their securities settlement claims.,"['financial-services', 'professional-services', 'small-and-medium-businesses']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
76,LEM Commodities,Chicago Capital Markets provides institutional global futures and options execution services.,"['consulting', 'finance', 'financial-services', 'trading-platform']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
77,Lexus of Greenwich,"Lexus of Greenwich is a car dealership that offers new and used Lexus in Greenwich, Connecticut.",[],https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
78,LIFEdata,Omni-Channel As A Service: accelerate revenue through omnichannel personalization,"['analytics', 'artificial-intelligence', 'crm', 'e-commerce-275d', 'greentech', 'machine-learning', 'marketing-2795', 'predictive-analytics-ca83', 'sustainability-e391']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
79,LIMEBIRD,Edge Cloud Computing Provider,"['cloud-computing', 'greentech', 'information-technology-dbca']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
80,LoanCore Capital,"Parallel capital provides asset management, debt and equity placement, transaction structuring, due diligence and asset evaluation services.","['asset-management', 'consulting', 'financial-services', 'risk-management']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
81,LocoBike,Hitched is changing the way couples shop for jewelry.,"['artificial-intelligence', 'greentech', 'internet-of-things-ed3a', 'sports']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
82,LOLIWARE,LOLIWARE is an award-winning materials tech company dedicated to replacing single-use plastics with seaweed.,"['advanced-materials', 'biotechnology', 'greentech', 'sustainability-e391']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
83,Lumenaza,BRIGHTBLU offers intelligent charging solutions for electric vehicles,"['clean-energy', 'energy-management', 'green-consumer-goods', 'greentech', 'information-technology-dbca', 'local-8ebe', 'peer-to-peer', 'renewable-energy', 'software']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
84,M C Capital Group,"Timepiece Capital is a private equity firm that focuses on acquisitions, management consulting, and financial reporting.","['consulting', 'financial-services', 'management-consulting']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
85,MakeGrowLab,EVBox is a leading global manufacturer of electric vehicle charging stations and charging management software. ,"['advanced-materials', 'cleantech', 'greentech', 'manufacturing', 'sustainability-e391']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
86,Nafas,Nafas creates an air quality sensor network to monitor the quality of outdoor air.,"['apps', 'greentech', 'renewable-energy']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
87,New England Total Energy,New England Total Energy provides HVAC installation and home energy conservation services.,"['energy-0ff0', 'mechanical-engineering', 'oil-and-gas']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
88,Non Equity Assistance - WEO - 2019-10-16 - Crunchbase Funding Round Profile,New England Total Energy provides HVAC installation and home energy conservation services.,[],https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
89,North American Card Association,"North American Card Association offers merchant services, merchant accounts, and credit card processing solutions.","['credit-cards', 'debit-cards', 'financial-services']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
90,NorthCoast Asset Management,"NorthCoast Asset Management is an established leader in systematic investment, quantitative research and risk management.",['financial-services'],https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
91,"Northeast Creative, LLC",Houston Video Production Company,['film-production'],https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
92,NTC Group,Verdeam is an investment management firm that provides private equity investment and portfolio management services.,"['consulting', 'finance', 'financial-services', 'impact-investing']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
93,nvisionist,ECOGEN cooperative is a green energy supplier that promotes renewable energies and generates community energy.,"['greentech', 'information-communications-technology-ict', 'recycling', 'renewable-energy', 'sustainability-e391']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
94,Oak HC_FT - Crunchbase Investor Profile & Investments,"Susquehanna Growth Equity invests in growth stage technology companies in the software, information services, and internet.","['financial-services', 'fintech-e067', 'venture-capital-b37d']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
95,Offsettled,Bringing verified carbon offsets to the masses.,"['green-consumer-goods', 'greentech']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
96,Olive & Bette's,Elemental Bottles is an online retailer of drinkware and clothing.,[],https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
97,One Green Apple,"They offer schools and families dynamic, effective, visual tools to foster communication.","['education', 'green-consumer-goods', 'greentech', 'information-technology-dbca', 'service-industry']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
98,OneLife,German based Healthtech/Clean Air company provides smart Indoor Health Ecosystem engineered to save lives and protect the environment.,"['consumer-goods', 'fitness', 'green-consumer-goods', 'greentech', 'personal-health', 'smart-home-8900', 'wellness']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
99,Onto,Circ delivers highest-quality rides with custom-made light electric vehicles.,"['automotive', 'electric-vehicle', 'greentech', 'software', 'subscription-service', 'transportation']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
100,Oxford Lane Capital,Oxford Lane Capital is an investment company that invests primarily in debt and equity tranches of CLO vehicles.,"['angel-investment', 'financial-services']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
101,PlasmaTrack,Environemntaly sustainable rail technology,"['greentech', 'railroad', 'transportation']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
102,PLASTICFRI,GreenTech company from Sweden with a breakthrough technology turning agricultural waste to eco-friendly products for replacing plastics.,"['advanced-materials', 'cleantech', 'environmental-consulting', 'greentech', 'paper-manufacturing', 'renewable-energy', 'sustainability-e391']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
103,Pre Seed Round - eevie - accelerating climate action - 2018-12-31 - Crunchbase Funding Round Profile,GreenTech company from Sweden with a breakthrough technology turning agricultural waste to eco-friendly products for replacing plastics.,[],https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
104,Pre Seed Round - eevie - accelerating climate action - 2021-02-10 - Crunchbase Funding Round Profile,GreenTech company from Sweden with a breakthrough technology turning agricultural waste to eco-friendly products for replacing plastics.,[],https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
105,Pre Seed Round - GreenCircle - 2020-11-01 - Crunchbase Funding Round Profile,GreenTech company from Sweden with a breakthrough technology turning agricultural waste to eco-friendly products for replacing plastics.,[],https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
106,Pre Seed Round - Pixies - 2021-09-01 - Crunchbase Funding Round Profile,GreenTech company from Sweden with a breakthrough technology turning agricultural waste to eco-friendly products for replacing plastics.,[],https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
107,Pre Seed Round - VirtuaCrop - 2022-02-28 - Crunchbase Funding Round Profile,GreenTech company from Sweden with a breakthrough technology turning agricultural waste to eco-friendly products for replacing plastics.,[],https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
108,Pre Seed Round - Worthmore - 2021-06-07 - Crunchbase Funding Round Profile,GreenTech company from Sweden with a breakthrough technology turning agricultural waste to eco-friendly products for replacing plastics.,[],https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
109,Prebona,"Prebona is a nanotechnology firm that develops products and solutions for the healthcare, transportation, agriculture and textile industry.","['biotechnology', 'cleantech', 'greentech', 'health-care', 'nanotechnology']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
110,Project Zero,"hiplo is a wholesale distributor of different sources of electricity like renewable, solar, and geothermal energy.","['electrical-distribution', 'energy-0ff0', 'greentech']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
111,PtX Development,PtX Development aims to create business and infrastructure that focuses on sustainable energy and climate protection.,"['environmental-consulting', 'environmental-engineering-5941', 'green-building', 'greentech', 'sustainability-e391']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
112,Quadratic Capital Management,"Klaren Capital is an asset and wealth management firm that provides portfolio management, financial planning, and mortgages services.","['asset-management', 'financial-services', 'professional-services']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
113,recycl3R,"Klaren Capital is an asset and wealth management firm that provides portfolio management, financial planning, and mortgages services.","['b2b', 'consumer-applications', 'greentech', 'information-technology-dbca']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
114,ReFi Pools,Belay is a collaborative financial research platform that manages the risk of investments.,"['blockchain', 'financial-services', 'fintech-e067', 'forestry-9c5d', 'greentech', 'insurtech', 'sustainability-e391']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
115,RepReach,RepReach provides a digital platform that connects sales reps and healthcare professionals.,"['b2b', 'health-care', 'mobile-apps', 'saas-5c4e']",https://images.crunchbase.com/image/upload/v1588291677/product_roadmap_ebook_native_vccb6g.jpg
